DATE,Close
2017-01-03,"3,135.92"
2017-01-04,"3,158.79"
2017-01-05,"3,165.41"
2017-01-06,"3,154.32"
2017-01-09,"3,171.24"
2017-01-10,"3,161.67"
2017-01-11,"3,136.75"
2017-01-12,"3,119.29"
2017-01-13,"3,112.76"
2017-01-16,"3,103.43"
2017-01-17,"3,108.77"
2017-01-18,"3,113.01"
2017-01-19,"3,101.30"
2017-01-20,"3,123.14"
2017-01-23,"3,136.77"
2017-01-24,"3,142.55"
2017-01-25,"3,149.55"
2017-01-26,"3,159.17"
2017-02-03,"3,140.17"
2017-02-06,"3,156.98"
2017-02-07,"3,153.09"
2017-02-08,"3,166.98"
2017-02-09,"3,183.18"
2017-02-10,"3,196.70"
2017-02-13,"3,216.84"
2017-02-14,"3,217.93"
2017-02-15,"3,212.99"
2017-02-16,"3,229.62"
2017-02-17,"3,202.08"
2017-02-20,"3,239.96"
2017-02-21,"3,253.33"
2017-02-22,"3,261.22"
2017-02-23,"3,251.38"
2017-02-24,"3,253.43"
2017-02-27,"3,228.66"
2017-02-28,"3,241.73"
2017-03-01,"3,246.93"
2017-03-02,"3,230.03"
2017-03-03,"3,218.31"
2017-03-06,"3,233.87"
2017-03-07,"3,242.41"
2017-03-08,"3,240.66"
2017-03-09,"3,216.75"
2017-03-10,"3,212.76"
2017-03-13,"3,237.02"
2017-03-14,"3,239.33"
2017-03-15,"3,241.76"
2017-03-16,"3,268.94"
2017-03-17,"3,237.45"
2017-03-20,"3,250.81"
2017-03-21,"3,261.61"
2017-03-22,"3,245.22"
2017-03-23,"3,248.55"
2017-03-24,"3,269.45"
2017-03-27,"3,266.96"
2017-03-28,"3,252.95"
2017-03-29,"3,241.31"
2017-03-30,"3,210.24"
2017-03-31,"3,222.51"
2017-04-05,"3,270.31"
2017-04-06,"3,281.00"
2017-04-07,"3,286.62"
2017-04-10,"3,269.39"
2017-04-11,"3,288.97"
2017-04-12,"3,273.83"
2017-04-13,"3,275.96"
2017-04-14,"3,246.07"
2017-04-17,"3,222.17"
2017-04-18,"3,196.71"
2017-04-19,"3,170.69"
2017-04-20,"3,172.10"
2017-04-21,"3,173.15"
2017-04-24,"3,129.53"
2017-04-25,"3,134.57"
2017-04-26,"3,140.85"
2017-04-27,"3,152.19"
2017-04-28,"3,154.66"
2017-05-02,"3,143.71"
2017-05-03,"3,135.35"
2017-05-04,"3,127.37"
2017-05-05,"3,103.04"
2017-05-08,"3,078.61"
2017-05-09,"3,080.53"
2017-05-10,"3,052.78"
2017-05-11,"3,061.50"
2017-05-12,"3,083.51"
2017-05-15,"3,090.23"
2017-05-16,"3,112.96"
2017-05-17,"3,104.44"
2017-05-18,"3,090.14"
2017-05-19,"3,090.63"
2017-05-22,"3,075.68"
2017-05-23,"3,061.95"
2017-05-24,"3,064.08"
2017-05-25,"3,107.83"
2017-05-26,"3,110.06"
2017-05-31,"3,117.18"
2017-06-01,"3,102.62"
2017-06-02,"3,105.54"
2017-06-05,"3,091.66"
2017-06-06,"3,102.13"
2017-06-07,"3,140.32"
2017-06-08,"3,150.33"
2017-06-09,"3,158.40"
2017-06-12,"3,139.88"
2017-06-13,"3,153.74"
2017-06-14,"3,130.67"
2017-06-15,"3,132.49"
2017-06-16,"3,123.17"
2017-06-19,"3,144.37"
2017-06-20,"3,140.01"
2017-06-21,"3,156.21"
2017-06-22,"3,147.45"
2017-06-23,"3,157.87"
2017-06-26,"3,185.44"
2017-06-27,"3,191.20"
2017-06-28,"3,173.20"
2017-06-29,"3,188.06"
2017-06-30,"3,192.43"
2017-07-03,"3,195.91"
2017-07-04,"3,182.80"
2017-07-05,"3,207.13"
2017-07-06,"3,212.44"
2017-07-07,"3,217.96"
2017-07-10,"3,212.63"
2017-07-11,"3,203.04"
2017-07-12,"3,197.54"
2017-07-13,"3,218.16"
2017-07-14,"3,222.42"
2017-07-17,"3,176.46"
2017-07-18,"3,187.57"
2017-07-19,"3,230.98"
2017-07-20,"3,244.86"
2017-07-21,"3,237.98"
2017-07-24,"3,250.60"
2017-07-25,"3,243.69"
2017-07-26,"3,247.67"
2017-07-27,"3,249.78"
2017-07-28,"3,253.24"
2017-07-31,"3,273.03"
2017-08-01,"3,292.64"
2017-08-02,"3,285.06"
2017-08-03,"3,272.93"
2017-08-04,"3,262.08"
2017-08-07,"3,279.46"
2017-08-08,"3,281.87"
2017-08-09,"3,275.57"
2017-08-10,"3,261.75"
2017-08-11,"3,208.54"
2017-08-14,"3,237.36"
2017-08-15,"3,251.26"
2017-08-16,"3,246.45"
2017-08-17,"3,268.43"
2017-08-18,"3,268.72"
2017-08-21,"3,286.91"
2017-08-22,"3,290.23"
2017-08-23,"3,287.70"
2017-08-24,"3,271.51"
2017-08-25,"3,331.52"
2017-08-28,"3,362.65"
2017-08-29,"3,365.23"
2017-08-30,"3,363.63"
2017-08-31,"3,360.81"
2017-09-01,"3,367.12"
2017-09-04,"3,379.58"
2017-09-05,"3,384.32"
2017-09-06,"3,385.39"
2017-09-07,"3,365.50"
2017-09-08,"3,365.24"
2017-09-11,"3,376.42"
